"time","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"21/01/2019 00:00:00","BZN|DE-LU","Sequence 1","55.54","",""
"21/01/2019 00:00:00","BZN|DE-LU","Sequence 2","68.51","",""
"21/01/2019 01:00:00","BZN|DE-LU","Sequence 1","53.02","",""
"21/01/2019 01:00:00","BZN|DE-LU","Sequence 2","60.82","",""
"21/01/2019 02:00:00","BZN|DE-LU","Sequence 1","52.10","",""
"21/01/2019 02:00:00","BZN|DE-LU","Sequence 2","59.76","",""
"21/01/2019 03:00:00","BZN|DE-LU","Sequence 1","51.31","",""
"21/01/2019 03:00:00","BZN|DE-LU","Sequence 2","55.70","",""
"21/01/2019 04:00:00","BZN|DE-LU","Sequence 1","51.14","",""
"21/01/2019 04:00:00","BZN|DE-LU","Sequence 2","49.20","",""
"21/01/2019 05:00:00","BZN|DE-LU","Sequence 1","53.23","",""
"21/01/2019 05:00:00","BZN|DE-LU","Sequence 2","39.43","",""
"21/01/2019 06:00:00","BZN|DE-LU","Sequence 1","67.16","",""
"21/01/2019 06:00:00","BZN|DE-LU","Sequence 2","39.05","",""
"21/01/2019 07:00:00","BZN|DE-LU","Sequence 1","79.62","",""
"21/01/2019 07:00:00","BZN|DE-LU","Sequence 2","66.40","",""
"21/01/2019 08:00:00","BZN|DE-LU","Sequence 1","88.06","",""
"21/01/2019 08:00:00","BZN|DE-LU","Sequence 2","104.52","",""
"21/01/2019 09:00:00","BZN|DE-LU","Sequence 1","86.01","",""
"21/01/2019 09:00:00","BZN|DE-LU","Sequence 2","112.92","",""
"21/01/2019 10:00:00","BZN|DE-LU","Sequence 1","80.04","",""
"21/01/2019 10:00:00","BZN|DE-LU","Sequence 2","100.45","",""
"21/01/2019 11:00:00","BZN|DE-LU","Sequence 1","75.00","",""
"21/01/2019 11:00:00","BZN|DE-LU","Sequence 2","89.25","",""
"21/01/2019 12:00:00","BZN|DE-LU","Sequence 1","70.65","",""
"21/01/2019 12:00:00","BZN|DE-LU","Sequence 2","77.50","",""
"21/01/2019 13:00:00","BZN|DE-LU","Sequence 1","71.56","",""
"21/01/2019 13:00:00","BZN|DE-LU","Sequence 2","78.60","",""
"21/01/2019 14:00:00","BZN|DE-LU","Sequence 1","72.03","",""
"21/01/2019 14:00:00","BZN|DE-LU","Sequence 2","66.23","",""
"21/01/2019 15:00:00","BZN|DE-LU","Sequence 1","76.49","",""
"21/01/2019 15:00:00","BZN|DE-LU","Sequence 2","66.35","",""
"21/01/2019 16:00:00","BZN|DE-LU","Sequence 1","81.08","",""
"21/01/2019 16:00:00","BZN|DE-LU","Sequence 2","65.62","",""
"21/01/2019 17:00:00","BZN|DE-LU","Sequence 1","88.35","",""
"21/01/2019 17:00:00","BZN|DE-LU","Sequence 2","80.65","",""
"21/01/2019 18:00:00","BZN|DE-LU","Sequence 1","88.50","",""
"21/01/2019 18:00:00","BZN|DE-LU","Sequence 2","90.18","",""
"21/01/2019 19:00:00","BZN|DE-LU","Sequence 1","79.93","",""
"21/01/2019 19:00:00","BZN|DE-LU","Sequence 2","99.84","",""
"21/01/2019 20:00:00","BZN|DE-LU","Sequence 1","73.69","",""
"21/01/2019 20:00:00","BZN|DE-LU","Sequence 2","102.08","","
"21/01/2019 21:00:00","BZN|DE-LU","Sequence 1","68.34","",""
"21/01/2019 21:00:00","BZN|DE-LU","Sequence 2","81.30","",""
"21/01/2019 22:00:00","BZN|DE-LU","Sequence 1","59.83","",""
"21/01/2019 22:00:00","BZN|DE-LU","Sequence 2","82.93","",""
"21/01/2019 23:00:00","BZN|DE-LU","Sequence 1","54.93","",""
"21/01/2019 23:00:00","BZN|DE-LU","Sequence 2","77.60","",""
