"time","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"12/03/2026 00:00","Germany (DE)","49602.19","46995.65"
"12/03/2026 01:00","Germany (DE)","47637.33","44886.26"
"12/03/2026 02:00","Germany (DE)","46567.14","44345.61"
"12/03/2026 03:00","Germany (DE)","47307.18","44370.27"
"12/03/2026 04:00","Germany (DE)","48193.30","45023.91"
"12/03/2026 05:00","Germany (DE)","50697.33","47500.91"
"12/03/2026 06:00","Germany (DE)","56838.39","52975.53"
"12/03/2026 07:00","Germany (DE)","63262.04","58277.29"
"12/03/2026 08:00","Germany (DE)","65630.25","62098.28"
"12/03/2026 09:00","Germany (DE)","65896.32","62777.31"
"12/03/2026 10:00","Germany (DE)","65253.74","63298.43"
"12/03/2026 11:00","Germany (DE)","64259.28","63331.25"
"12/03/2026 12:00","Germany (DE)","63330.70","63309.04"
"12/03/2026 13:00","Germany (DE)","62356.79","61740.60"
"12/03/2026 14:00","Germany (DE)","59985.50","60406.49"
"12/03/2026 15:00","Germany (DE)","60151.74","59786.05"
"12/03/2026 16:00","Germany (DE)","60549.06","58956.04"
"12/03/2026 17:00","Germany (DE)","61338.87","59588.75"
"12/03/2026 18:00","Germany (DE)","63577.93","61627.63"
"12/03/2026 19:00","Germany (DE)","67084.49","62406.32"
"12/03/2026 20:00","Germany (DE)","65013.78","60085.08"
"12/03/2026 21:00","Germany (DE)","61341.89","56858.35"
"12/03/2026 22:00","Germany (DE)","58263.25","53692.59"
"12/03/2026 23:00","Germany (DE)","54634.80","50223.79"
