"time","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"21/01/2019 00:00","BZN|DE-LU","54243.49","52742.01"
"21/01/2019 01:00","BZN|DE-LU","52196.55","51121.20"
"21/01/2019 02:00","BZN|DE-LU","51158.45","49841.04"
"21/01/2019 03:00","BZN|DE-LU","51048.11","49905.34"
"21/01/2019 04:00","BZN|DE-LU","52331.52","50817.54"
"21/01/2019 05:00","BZN|DE-LU","55467.54","52964.13"
"21/01/2019 06:00","BZN|DE-LU","62313.12","58932.23"
"21/01/2019 07:00","BZN|DE-LU","71087.10","67042.61"
"21/01/2019 08:00","BZN|DE-LU","74575.89","70506.72"
"21/01/2019 09:00","BZN|DE-LU","74657.89","70269.75"
"21/01/2019 10:00","BZN|DE-LU","74654.24","71359.78"
"21/01/2019 11:00","BZN|DE-LU","75073.85","71681.73"
"21/01/2019 12:00","BZN|DE-LU","74893.47","71125.54"
"21/01/2019 13:00","BZN|DE-LU","74690.36","71213.64"
"21/01/2019 14:00","BZN|DE-LU","73279.90","70287.58"
"21/01/2019 15:00","BZN|DE-LU","72791.71","68073.44"
"21/01/2019 16:00","BZN|DE-LU","72054.99","69140.97"
"21/01/2019 17:00","BZN|DE-LU","74769.74","67858.27"
"21/01/2019 18:00","BZN|DE-LU","77153.26","69857.77"
"21/01/2019 19:00","BZN|DE-LU","76018.41","68976.32"
"21/01/2019 20:00","BZN|DE-LU","72881.05","66697.74"
"21/01/2019 21:00","BZN|DE-LU","69035.29","64367.03"
"21/01/2019 22:00","BZN|DE-LU","66349.68","62858.23"
"21/01/2019 23:00","BZN|DE-LU","62504.36","58782.90"
