"time","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"24/12/2022 00:00 - ","BZN|DE-LU","41524.30","47137.93"
"24/12/2022 01:00 - ","BZN|DE-LU","38028.20","44419.00"
"24/12/2022 02:00 - ","BZN|DE-LU","36472.80","43534.78"
"24/12/2022 03:00 - ","BZN|DE-LU","36845.30","43526.10"
"24/12/2022 04:00 - ","BZN|DE-LU","37215.19","44157.11"
"24/12/2022 05:00 - ","BZN|DE-LU","38003.17","44264.61"
"24/12/2022 06:00 - ","BZN|DE-LU","38356.34","42844.39"
"24/12/2022 07:00 - ","BZN|DE-LU","40107.22","41213.91"
"24/12/2022 08:00 - ","BZN|DE-LU","44025.82","45044.26"
"24/12/2022 09:00 - ","BZN|DE-LU","47364.82","48302.84"
"24/12/2022 10:00 - ","BZN|DE-LU","49707.97","51697.05"
"24/12/2022 11:00 - ","BZN|DE-LU","50904.59","52956.39"
"24/12/2022 12:00 - ","BZN|DE-LU","52066.44","52799.66"
"24/12/2022 13:00 - ","BZN|DE-LU","49946.32","51800.08"
"24/12/2022 14:00 - ","BZN|DE-LU","48362.54","50676.68"
"24/12/2022 15:00 - ","BZN|DE-LU","46584.79","49565.87"
"24/12/2022 16:00 - ","BZN|DE-LU","47279.98","50420.12"
"24/12/2022 17:00 - ","BZN|DE-LU","50513.89","51399.98"
"24/12/2022 18:00 - ","BZN|DE-LU","50767.94","51476.61"
"24/12/2022 19:00 - ","BZN|DE-LU","47713.73","49161.86"
"24/12/2022 20:00 - ","BZN|DE-LU","44502.35","46564.51"
"24/12/2022 21:00 - ","BZN|DE-LU","42700.41","44605.66"
"24/12/2022 22:00 - ","BZN|DE-LU","42635.06","44734.17"
"24/12/2022 23:00 - ","BZN|DE-LU","40848.27","44067.56"
