"time","Area","Production Type","Generation (MW)"
"12/03/2026 00:00:00","Germany (DE)","Solar","11.85"
"12/03/2026 01:00:00","Germany (DE)","Solar","9.33"
"12/03/2026 02:00:00","Germany (DE)","Solar","8.84"
"12/03/2026 03:00:00","Germany (DE)","Solar","8.52"
"12/03/2026 04:00:00","Germany (DE)","Solar","8.94"
"12/03/2026 05:00:00","Germany (DE)","Solar","12.42"
"12/03/2026 06:00:00","Germany (DE)","Solar","14.07"
"12/03/2026 07:00:00","Germany (DE)","Solar","1153.37"
"12/03/2026 08:00:00","Germany (DE)","Solar","8678.89"
"12/03/2026 09:00:00","Germany (DE)","Solar","19873.49"
"12/03/2026 10:00:00","Germany (DE)","Solar","29952.06"
"12/03/2026 11:00:00","Germany (DE)","Solar","34272.51"
"12/03/2026 12:00:00","Germany (DE)","Solar","32997.65"
"12/03/2026 13:00:00","Germany (DE)","Solar","32591.39"
"12/03/2026 14:00:00","Germany (DE)","Solar","31065.36"
"12/03/2026 15:00:00","Germany (DE)","Solar","27045.05"
"12/03/2026 16:00:00","Germany (DE)","Solar","18837.42"
"12/03/2026 17:00:00","Germany (DE)","Solar","7693.08"
"12/03/2026 18:00:00","Germany (DE)","Solar","539.01"
"12/03/2026 19:00:00","Germany (DE)","Solar","72.21"
"12/03/2026 20:00:00","Germany (DE)","Solar","45.55"
"12/03/2026 21:00:00","Germany (DE)","Solar","15.76"
"12/03/2026 22:00:00","Germany (DE)","Solar","24.55"
"12/03/2026 23:00:00","Germany (DE)","Solar","19.57"
