"time","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"15/07/2025 00:00:00","BZN|DE-LU","0.00","0.00","0.00","12.77"
"15/07/2025 01:00:00","BZN|DE-LU","0.00","0.00","0.00","12.45"
"15/07/2025 02:00:00","BZN|DE-LU","0.00","0.00","0.00","5.84"
"15/07/2025 03:00:00","BZN|DE-LU","0.00","0.00","0.00","5.77"
"15/07/2025 04:00:00","BZN|DE-LU","0.00","0.00","0.00","5.94"
"15/07/2025 05:00:00","BZN|DE-LU","31.26","28.85","28.85","25.82"
"15/07/2025 06:00:00","BZN|DE-LU","1411.56","1206.18","1208.52","1178.69"
"15/07/2025 07:00:00","BZN|DE-LU","5599.95","5453.20","5442.87","5080.78"
"15/07/2025 08:00:00","BZN|DE-LU","12240.48","11608.29","11592.02","11459.84"
"15/07/2025 09:00:00","BZN|DE-LU","19406.36","18352.54","18678.63","18691.08"
"15/07/2025 10:00:00","BZN|DE-LU","25323.39","23600.87","24322.83","23914.32"
"15/07/2025 11:00:00","BZN|DE-LU","29491.67","26849.83","27937.53","27722.91"
"15/07/2025 12:00:00","BZN|DE-LU","31908.75","29121.55","30084.51","29846.21"
"15/07/2025 13:00:00","BZN|DE-LU","32937.68","30023.55","30706.52","29419.33"
"15/07/2025 14:00:00","BZN|DE-LU","32458.68","30702.16","29609.92","27066.33"
"15/07/2025 15:00:00","BZN|DE-LU","30844.10","29652.19","26195.59","26931.90"
"15/07/2025 16:00:00","BZN|DE-LU","27633.56","26887.02","23862.64","25531.55"
"15/07/2025 17:00:00","BZN|DE-LU","22878.55","22371.46","19801.95","21252.43"
"15/07/2025 18:00:00","BZN|DE-LU","16365.56","16092.26","14804.28","14973.55"
"15/07/2025 19:00:00","BZN|DE-LU","9001.95","8772.34","8225.34","8263.60"
"15/07/2025 20:00:00","BZN|DE-LU","3448.26","3334.90","3054.62","3055.21"
"15/07/2025 21:00:00","BZN|DE-LU","450.40","419.42","343.56","303.98"
"15/07/2025 22:00:00","BZN|DE-LU","0.00","0.00","0.00","50.37"
"15/07/2025 23:00:00","BZN|DE-LU","0.00","0.00","0.00","6.26"
