"time","Area","Production Type","Generation (MW)"
"21/01/2019 00:00:00","BZN|DE-LU","Solar","0.17"
"21/01/2019 01:00:00","BZN|DE-LU","Solar","0.18"
"21/01/2019 02:00:00","BZN|DE-LU","Solar","0.15"
"21/01/2019 03:00:00","BZN|DE-LU","Solar","0.18"
"21/01/2019 04:00:00","BZN|DE-LU","Solar","0.19"
"21/01/2019 05:00:00","BZN|DE-LU","Solar","0.20"
"21/01/2019 06:00:00","BZN|DE-LU","Solar","0.20"
"21/01/2019 07:00:00","BZN|DE-LU","Solar","0.26"
"21/01/2019 08:00:00","BZN|DE-LU","Solar","44.84"
"21/01/2019 09:00:00","BZN|DE-LU","Solar","1658.69"
"21/01/2019 10:00:00","BZN|DE-LU","Solar","4936.22"
"21/01/2019 11:00:00","BZN|DE-LU","Solar","8473.23"
"21/01/2019 12:00:00","BZN|DE-LU","Solar","10411.31"
"21/01/2019 13:00:00","BZN|DE-LU","Solar","10538.01"
"21/01/2019 14:00:00","BZN|DE-LU","Solar","8643.97"
"21/01/2019 15:00:00","BZN|DE-LU","Solar","5084.72"
"21/01/2019 16:00:00","BZN|DE-LU","Solar","1278.24"
"21/01/2019 17:00:00","BZN|DE-LU","Solar","3.07"
"21/01/2019 18:00:00","BZN|DE-LU","Solar","0.20"
"21/01/2019 19:00:00","BZN|DE-LU","Solar","0.15"
"21/01/2019 20:00:00","BZN|DE-LU","Solar","0.15"
"21/01/2019 21:00:00","BZN|DE-LU","Solar","0.17"
"21/01/2019 22:00:00","BZN|DE-LU","Solar","0.17"
"21/01/2019 23:00:00","BZN|DE-LU","Solar","0.16"
