"time","Area","Production Type","Generation (MW)"
"24/12/2022 00:00:00","BZN|DE-LU","Solar","3.58"
"24/12/2022 01:00:00","BZN|DE-LU","Solar","3.62"
"24/12/2022 02:00:00","BZN|DE-LU","Solar","4.76"
"24/12/2022 03:00:00","BZN|DE-LU","Solar","4.10"
"24/12/2022 04:00:00","BZN|DE-LU","Solar","3.76"
"24/12/2022 05:00:00","BZN|DE-LU","Solar","4.09"
"24/12/2022 06:00:00","BZN|DE-LU","Solar","3.80"
"24/12/2022 07:00:00","BZN|DE-LU","Solar","4.01"
"24/12/2022 08:00:00","BZN|DE-LU","Solar","6.84"
"24/12/2022 09:00:00","BZN|DE-LU","Solar","788.06"
"24/12/2022 10:00:00","BZN|DE-LU","Solar","2585.40"
"24/12/2022 11:00:00","BZN|DE-LU","Solar","4987.51"
"24/12/2022 12:00:00","BZN|DE-LU","Solar","7040.73"
"24/12/2022 13:00:00","BZN|DE-LU","Solar","6098.78"
"24/12/2022 14:00:00","BZN|DE-LU","Solar","4254.97"
"24/12/2022 15:00:00","BZN|DE-LU","Solar","1792.42"
"24/12/2022 16:00:00","BZN|DE-LU","Solar","108.05"
"24/12/2022 17:00:00","BZN|DE-LU","Solar","6.03"
"24/12/2022 18:00:00","BZN|DE-LU","Solar","5.65"
"24/12/2022 19:00:00","BZN|DE-LU","Solar","5.66"
"24/12/2022 20:00:00","BZN|DE-LU","Solar","4.87"
"24/12/2022 21:00:00","BZN|DE-LU","Solar","5.42"
"24/12/2022 22:00:00","BZN|DE-LU","Solar","4.79"
"24/12/2022 23:00:00","BZN|DE-LU","Solar","5.32"
