utc_timestamp,cet_cest_timestamp,DE_KN_industrial1_grid_import,DE_KN_industrial1_pv_1,DE_KN_industrial1_pv_2,DE_KN_industrial2_grid_import,DE_KN_industrial2_pv,DE_KN_industrial2_storage_charge,DE_KN_industrial2_storage_decharge,DE_KN_industrial3_area_offices,DE_KN_industrial3_area_room_1,DE_KN_industrial3_area_room_2,DE_KN_industrial3_area_room_3,DE_KN_industrial3_area_room_4,DE_KN_industrial3_compressor,DE_KN_industrial3_cooling_aggregate,DE_KN_industrial3_cooling_pumps,DE_KN_industrial3_dishwasher,DE_KN_industrial3_ev,DE_KN_industrial3_grid_import,DE_KN_industrial3_machine_1,DE_KN_industrial3_machine_2,DE_KN_industrial3_machine_3,DE_KN_industrial3_machine_4,DE_KN_industrial3_machine_5,DE_KN_industrial3_pv_facade,DE_KN_industrial3_pv_roof,DE_KN_industrial3_refrigerator,DE_KN_industrial3_ventilation,DE_KN_public1_grid_import,DE_KN_public2_grid_import,DE_KN_residential1_dishwasher,DE_KN_residential1_freezer,DE_KN_residential1_grid_import,DE_KN_residential1_heat_pump,DE_KN_residential1_pv,DE_KN_residential1_washing_machine,DE_KN_residential2_circulation_pump,DE_KN_residential2_dishwasher,DE_KN_residential2_freezer,DE_KN_residential2_grid_import,DE_KN_residential2_washing_machine,DE_KN_residential3_circulation_pump,DE_KN_residential3_dishwasher,DE_KN_residential3_freezer,DE_KN_residential3_grid_export,DE_KN_residential3_grid_import,DE_KN_residential3_pv,DE_KN_residential3_refrigerator,DE_KN_residential3_washing_machine,DE_KN_residential4_dishwasher,DE_KN_residential4_ev,DE_KN_residential4_freezer,DE_KN_residential4_grid_export,DE_KN_residential4_grid_import,DE_KN_residential4_heat_pump,DE_KN_residential4_pv,DE_KN_residential4_refrigerator,DE_KN_residential4_washing_machine,DE_KN_residential5_dishwasher,DE_KN_residential5_grid_import,DE_KN_residential5_refrigerator,DE_KN_residential5_washing_machine,DE_KN_residential6_circulation_pump,DE_KN_residential6_dishwasher,DE_KN_residential6_freezer,DE_KN_residential6_grid_export,DE_KN_residential6_grid_import,DE_KN_residential6_pv,DE_KN_residential6_washing_machine,interpolated
2014-12-11T17:00:00Z,2014-12-11T18:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-11T18:00:00Z,2014-12-11T19:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063,0.003,0.024,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
2014-12-11T19:00:00Z,2014-12-11T20:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.132,0.005,0.064,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
2014-12-11T20:00:00Z,2014-12-11T21:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.200,0.008,0.102,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
2014-12-11T21:00:00Z,2014-12-11T22:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269,0.010,0.106,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
2014-12-11T22:00:00Z,2014-12-11T23:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.310,0.013,0.146,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
2014-12-11T23:00:00Z,2014-12-12T00:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.369,0.016,0.185,,,,,0.000,,,,,,,,,,,,,,,,,,,,,DE_KN_residential3_washing_machine
2014-12-12T00:00:00Z,2014-12-12T01:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.440,0.018,0.201,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
2014-12-12T01:00:00Z,2014-12-12T02:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.507,0.021,0.228,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
2014-12-12T02:00:00Z,2014-12-12T03:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.579,0.023,0.268,,,,,0.000,,,,,,,,,,,,,,,,,,,,,
2014-12-12T03:00:00Z,2014-12-12T04:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.647,0.026,0.300,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
2014-12-12T04:00:00Z,2014-12-12T05:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.717,0.028,0.309,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
2014-12-12T05:00:00Z,2014-12-12T06:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.789,0.031,0.349,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
2014-12-12T06:00:00Z,2014-12-12T07:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.857,0.079,0.388,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
2014-12-12T07:00:00Z,2014-12-12T08:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.932,1.293,0.394,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
2014-12-12T08:00:00Z,2014-12-12T09:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.020,1.298,0.430,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
2014-12-12T09:00:00Z,2014-12-12T10:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.139,1.300,0.469,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
2014-12-12T10:00:00Z,2014-12-12T11:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.257,1.303,0.491,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
2014-12-12T11:00:00Z,2014-12-12T12:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.368,1.305,0.510,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
2014-12-12T12:00:00Z,2014-12-12T13:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.470,1.308,0.550,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
2014-12-12T13:00:00Z,2014-12-12T14:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.544,1.310,0.586,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
2014-12-12T14:00:00Z,2014-12-12T15:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.617,1.313,0.591,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
2014-12-12T15:00:00Z,2014-12-12T16:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.689,1.316,0.630,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
2014-12-12T16:00:00Z,2014-12-12T17:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.755,1.318,0.670,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
2014-12-12T17:00:00Z,2014-12-12T18:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.823,1.331,0.678,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
2014-12-12T18:00:00Z,2014-12-12T19:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.893,2.498,0.711,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
2014-12-12T19:00:00Z,2014-12-12T20:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.962,2.522,0.752,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
2014-12-12T20:00:00Z,2014-12-12T21:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.029,2.525,0.764,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
2014-12-12T21:00:00Z,2014-12-12T22:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.098,2.527,0.794,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
2014-12-12T22:00:00Z,2014-12-12T23:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.139,2.530,0.835,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
2014-12-12T23:00:00Z,2014-12-13T00:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.198,2.532,0.870,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
2014-12-13T00:00:00Z,2014-12-13T01:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.269,2.535,0.878,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
2014-12-13T01:00:00Z,2014-12-13T02:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.334,2.537,0.919,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
2014-12-13T02:00:00Z,2014-12-13T03:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.405,2.540,0.958,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
2014-12-13T03:00:00Z,2014-12-13T04:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.471,2.542,0.962,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
2014-12-13T04:00:00Z,2014-12-13T05:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.541,2.545,1.003,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-13T05:00:00Z,2014-12-13T06:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.612,2.548,1.044,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-13T06:00:00Z,2014-12-13T07:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.681,2.550,1.046,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-13T07:00:00Z,2014-12-13T08:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.751,2.553,1.087,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-13T08:00:00Z,2014-12-13T09:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.822,2.555,1.128,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-13T09:00:00Z,2014-12-13T10:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.905,2.558,1.130,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-13T10:00:00Z,2014-12-13T11:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.023,2.560,1.171,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-13T11:00:00Z,2014-12-13T12:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.135,2.563,1.212,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-13T12:00:00Z,2014-12-13T13:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.247,2.566,1.214,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-13T13:00:00Z,2014-12-13T14:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.354,2.568,1.255,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-13T14:00:00Z,2014-12-13T15:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.451,2.571,1.295,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-13T15:00:00Z,2014-12-13T16:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.523,2.573,1.299,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-13T16:00:00Z,2014-12-13T17:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.591,2.575,1.338,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-13T17:00:00Z,2014-12-13T18:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.659,2.578,1.379,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-13T18:00:00Z,2014-12-13T19:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.726,2.581,1.388,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-13T19:00:00Z,2014-12-13T20:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.795,2.583,1.422,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-13T20:00:00Z,2014-12-13T21:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.863,2.586,1.463,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-13T21:00:00Z,2014-12-13T22:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.932,2.588,1.477,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-13T22:00:00Z,2014-12-13T23:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.974,2.590,1.506,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-13T23:00:00Z,2014-12-14T00:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.028,2.593,1.547,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-14T00:00:00Z,2014-12-14T01:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.098,2.596,1.567,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
